"location","status_id","created_at","text"
"Houston, TX","1117212642408652801",2019-04-13 23:47:05,"@Danfa83 @billmaher @AOC Lowest unemployment among all ethnic lines economy growing at over 3%(Obama never got above 2.5) No Russia collusion 

I didn’t say anything about the Man but since you did I wait for you to give me actual proof of an ACTUAL lie Trump has told America. https://t.co/Rs8T5y8bYL"
"Birmingham, AL","1117212572263096320",2019-04-13 23:46:48,"@MARCANDERSONNWO Reaganomics didn’t work? I thought you said economy was booming @realDonaldTrump"
"California, USA","1117212394801860609",2019-04-13 23:46:06,"Trade rows cloud global economy as officials fret over slowdown https://t.co/ncJUsg06Lm https://t.co/05dauDyc39"
"California, USA","1117212312400609280",2019-04-13 23:45:46,"@danhwang88 @NEARProtocol Creating economy/marketplace directly between players in multiplayer world"
"Los Angeles","1117212301730418688",2019-04-13 23:45:44,"Check out our simple, interactive list of average hourly wages for the sharing economy &amp; gig economy. https://t.co/rfopattRuI"
"Australia","1117208775398584320",2019-04-13 23:31:43,"Australia: Australia’s economy is still booming, but politics is a cause for concern #insiders #auspol https://t.co/BXjQSWWgVu via @TheEconomist"
"Australia","1117212273750077440",2019-04-13 23:45:37,"Coal plays essential role in U.S. economy https://t.co/g8ZDrAcKma via @DMRegister #insiders"
"Brooklyn, NY","1117212259552583680",2019-04-13 23:45:34,"@gailfinke @michael32015588 @heidinicole1988 @DanClarkReports NYC gains tens of thousands of people a year; around 40% of population is foreign-born. They get jobs &amp; contribute to a robust economy. I wouldn't expect any new residents to be substantially different. It is fear mongering to imply that they would be solely draining resources."
"Canada","1117212223661699073",2019-04-13 23:45:25,"@VoiceOfFranky And that, right there, is why I never have and never will vote conservative. I don’t care about the empty promises to fix the economy. Their stripes are on full display and it’s not worth it."
"Florida, USA","1117212216997097477",2019-04-13 23:45:23,"@kat_spingrant @CoryBooker Yes for sure. Lets stiffle the booming economy, raise taxes on businesses and drive them away. Lets steal from hard working people. Lets make America down town San Fransico with all the drugs and homeless. Those were democratic policies that created that situation..smh"
"Toronto","1117212125301178368",2019-04-13 23:45:02,"The problem with the tech IPO economy https://t.co/9A5zY0I8gH"
"SW Michigan","1117212111170678787",2019-04-13 23:44:58,"'Treasury Secretary Mnuchin [again] said Saturday that the U.S. and China were close to finishing their trade talks and indicated that a deal could be announced'
 https://t.co/KTZLP6mleD

#Deplorable #QAnon #Unhinged #MAGA #ArtOfTheDeal #AmateurHour #Propaganda #ClownShow #FAIL!"
"United States","1117212071161028609",2019-04-13 23:44:49,"Only the very to 10% benefit from this economy. America’s upper middle class feeling the pinch too - Bloomberg https://t.co/ratqlSoNMN"
"Philadelphia, PA","1117212042384093184",2019-04-13 23:44:42,"#ttw19 final keynote panel on the political economy of gaming - Vicky Osterweil and co. making mincemeat of the frequent claim that ""there's no politics in this video game"" https://t.co/GNPlIytnHZ"
"Tampa, FL","1117211964764110848",2019-04-13 23:44:23,"@realDonaldTrump Send them all to CA since @GavinNewsom thinks they helped build his State’s economy.  Funny how he’s not welcoming them all in with open arms."
"Brooklyn","1117211942291148802",2019-04-13 23:44:18,"@realDonaldTrump @nytimes Are u STILL not working on: the economy, immigration, Notth Korea? What do you do? #ExecutiveTime"
"USA","1117211925488730112",2019-04-13 23:44:14,"@realDonaldTrump yep more like giving us highest debt and deficit ever, alienated US friends while befriending foes, #trumptaxscam that has and will hurt milions and IS economy, separated families and put children in cages, ended regs that had stopped smog and helped environment, so much more"
"Edmonton","1117211922762354693",2019-04-13 23:44:13,"This endorsement is horrifying. Sad day for the @edmontonjournal. #abvote #ableg #yeg https://t.co/y2OZSvTqwM"
"United States","1117211921227317248",2019-04-13 23:44:13,"@realDonaldTrump This is incorrect and FOX had to retract the statement. They confused disapproval with approval. However, the economy number is correct. Leave it to Trump to give false information"
"Paradise","1117211790830555137",2019-04-13 23:43:42,"#BreakfastNews #auspol #insiders Collecting $40billion a year in taxes with an economy the size of Australia would be a GOOD thing if we have any hope of paying down national debt. https://t.co/Qk1hhylKg9"
