"location","status_id","created_at","text"
"Chandler, AZ","1117215536419676160",2019-04-13 23:58:35,"Thanks to the Renatus Education, I have done 5 fix and flips and 1 wholesale with the community. None of my own credit or money just my deticated time to always focus on Lourdes and my furture and working on getting debt free&gt; https://t.co/JNcnEV3g5M"
"United States","1117214279965532160",2019-04-13 23:53:35,"Have you heard ‘Money Off The Meter (Prod. C13RVO x DVTCHIE)’ by Tcorr on #SoundCloud? #np https://t.co/rttL72MHD0"
"United States","1117215534712532993",2019-04-13 23:58:34,"Tcorr, the newest underground sensation ranging from trap metal to singing brings you his newest hit: 
https://t.co/DNfKdvJNOM"
"Murrieta, CA","1117215532673982464",2019-04-13 23:58:34,"@CBSNews YOU are the one who made CA sanctuary State. You can’t have it both ways @GavinNewsom.  Put your money where your mouth is:  you want the illegal immigrants in CA, they should send BUSES right to your house so you can pay for their education, healthcare and social services."
"Gilbert, AZ","1117215524075659264",2019-04-13 23:58:32,"@Cougsky @FieldGulls It doesn’t help how deep this draft is on the d-line.  Trading Clark frees up some money for Russ, Wags and Reed"
"Boston, MA","1117215516928749569",2019-04-13 23:58:30,"These Simple Tactics Will Help You Become More Mindful With Your Money https://t.co/XuUunpqOJC https://t.co/0HDNkwUCwL"
"Texas","1117215514546331649",2019-04-13 23:58:30,"@mishtheuniverse @SkyeHunter82 On both the Dallas and needing money <U+0001F602>"
"California, USA","1117215508258910209",2019-04-13 23:58:28,"@thatraverbitch @Bryanrb_ @booty_rave Damn you saw it <U+0001F9D0>??? Did you say anything by any chance. Idk I still think it's the best solution or sock your money <U+0001F60E> maybe leave your stuff in your car and wing it."
"Canada","1117215504354070528",2019-04-13 23:58:27,"@RachelNotley This is how you fight for pipelines, you take foreign money to block them, then appoint activists to block them. You are a liar and don’t deserve a job. #abvote #ableg https://t.co/d2zAwUPgRn"
"Club Paradise","1117215503976517633",2019-04-13 23:58:27,"@Juicy_JT_92 Bruh it’s like having a fucking hemorrhoid rooting for this team sometimes but tell those boys if they want money on the magic we can talk !"
"Grove, Oklahoma","1117215503380992000",2019-04-13 23:58:27,"@seanmcrowell @jdunnington Government is not people. Government cares about power. Government is greedy and corrupt. Government abuses people. Government takes your money without informed consent. Government cannot give love. It's a corporation."
"Perth Amboy,New Jersey","1117215486909902848",2019-04-13 23:58:23,"MONEY RIGHT, BUDGET RIGHT...THEN CALL #TEAMDEWITRIGHT...
MAPEOPLE LLC

OR EVEN IF THEY FALL SHORT, AND YOU HAVE TO SAVE UP A LITTLE MORE TO FINISH..FEEL FREE TO… https://t.co/VRB6Jock5j"
"Priory, St.Ann, Jamaica","1117215484829675522",2019-04-13 23:58:23,"Bet Pon Me, Yuh Lose Yuh Money Whe Yuh Pay Dung. <U+0001F4AA>"
"Jamaica","1117215481386151937",2019-04-13 23:58:22,"Omit money. https://t.co/0zJg9CUyMf"
"Maryland, USA","1117215479905624065",2019-04-13 23:58:21,"Over 90% of podcasters are making little or no money from their show, and less than 1% are making enough money to support themselves. Here are 5 Ways to Make Money from Podcasting: https://t.co/1zzC6pXSIC https://t.co/ye5c55WNgf"
"Athens, GA","1117215470459944962",2019-04-13 23:58:19,"Y’all just wait until I start making money I will THRIVE"
"Akron, oh","1117215469604364289",2019-04-13 23:58:19,"@Bobby_Chad @AskPlayStation I'd gladly just replace it myself but it seems i have to go from the bottom up. I get it isn't a pc, but once the console warms up the fan sounds like squirrels are fighting in it. I'm about to just trade it in. I just can't justify giving sony more money for a 2$ fan"
"New York, NY","1117215465988874240",2019-04-13 23:58:18,"Success is about having money and fame, but #excellence is being the best you can be ~ Mike Ditka"
"New Jersey, USA","1117215455306027008",2019-04-13 23:58:16,"“ if your gonna boo than stay on that side “ lmaoooo cause people spend hundreds of their hard earned money to watch u play and u can’t shoot a fucking free throw or u turn it over on a fast break with 1 defender, u deserve to be booed for that performance #PhilaUnite"
"Philly","1117213243192299527",2019-04-13 23:49:28,"His name is Magic Augustin....#BlueAndWhiteIgnite https://t.co/g6DSBnMwqq"
"Philly","1117215454987194368",2019-04-13 23:58:15,"Only 2 people on national TV believed in Orlando. That’s SVG and Damon Jones #PureMagic #BlueAndWhiteIgnite"
"Philly","1117214805356687361",2019-04-13 23:55:41,"@MagicBamba @espn Let them keep hating...it motivates us!"
"Philly","1117213741525938176",2019-04-13 23:51:27,"<U+0001F5E3>HE SHOULD BE COACH OF THE YEAR https://t.co/JjHkKZbCO2"
"Philly","1117212376544288768",2019-04-13 23:46:02,"@PureMagic246 <U+0001F602><U+0001F602><U+0001F602><U+0001F602> Magic Augustin now"
"Philly","1117211950415585280",2019-04-13 23:44:20,"Lowry a BUM <U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602> https://t.co/9BJY79ce2q"
"Illinois, USA","1117215454538489856",2019-04-13 23:58:15,"@Metsfan1120 @Miss_Met I think it's money.. And he has something on Wilpons.. <U+0001F60A>"
"Houston, TX","1117215451791147008",2019-04-13 23:58:15,"Bout to take my kids shopping with their own money! #KidEntrepreneurs"
"Texas, USA","1117215443981352962",2019-04-13 23:58:13,"Update: we are working on putting food kits &amp; materials together. Still taking donations via Venmo. Really appreciate everyone sending money because it has made all the difference. <U+0001F339> https://t.co/vYp934Q6xY"
"Bend, OR","1117215429632589824",2019-04-13 23:58:09,"@Hulu has live sports now, so I finally cancelled my cable tv, tripled my bandwidth to 300 Mbps, and still saved money. More for me, less for the criminals at @bendbroadband. <U+0001F44D><U+0001F44D>"
"New York, USA","1117215425971073024",2019-04-13 23:58:09,"@mbodmer @CurtisSheehan <U+0001F615> the goalposts always slide man. Good teams lose in the West it’s “THE CONFERENCE IS SO TOUGH! ANY TEAM CAN GIVE ANY TEAM A RUN FOR THEIR MONEY!”..."
"Arizona, USA","1117215425618567169",2019-04-13 23:58:08,"@JuicyCactus64 @MissioMusic No, I used to live there years ago but now I'm in Arizona. Back when I had the money I flew to Austin a drove to Vegas for Missio shows. Nowadays I have to settle for one Phoenix show a year. <U+0001F60A>"
"Central Iowa","1117215424771444736",2019-04-13 23:58:08,"@CubeSteve @Max_Bakers @TRej2011 But money at least exists somewhere."
"United States","1117215423878057986",2019-04-13 23:58:08,"@jax_persists @IlhanMN He said he donated money and was going to pay people working on the wreckage and they are still waiting for the money."
"New York","1117215419037888514",2019-04-13 23:58:07,"@MattEhalt House money game? It’s a divisional game against the team who won the division last year."
